Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,669,9,2,1,118,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,3,9,8,4,7
35,982,1,4,1,1172,4,58,2,1,3,2258,16340,6,12,3,2,80,1,10,2,3,8,0,1,7
51,1169,7,4,1,211,2,34,2,2,3,6132,13983,2,17,3,3,80,0,10,2,3,1,0,0,0
49,1023,2,3,1,2065,4,63,2,2,2,5390,13243,2,14,3,4,80,0,17,3,2,9,6,0,8
22,1368,4,1,1,593,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,3,2,2,1,2
35,1349,7,2,1,1601,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,5,2,1,0,0,1
24,1287,7,3,1,647,1,55,3,1,3,2886,14168,1,16,3,4,80,1,6,4,3,6,3,1,2
35,1343,27,1,1,856,3,53,2,1,1,2559,17852,1,11,3,4,80,0,6,3,2,6,5,1,1
29,746,24,3,1,1928,3,45,4,1,1,1091,10642,1,17,3,4,80,0,1,3,3,1,0,0,0
32,267,29,4,1,2010,3,49,2,1,2,2837,15919,1,13,3,3,80,0,6,3,3,6,2,4,1
26,482,1,2,1,1893,2,90,2,1,3,2933,14908,1,13,3,3,80,1,1,3,2,1,0,1,0
45,556,25,2,1,1888,2,93,2,2,4,5906,23888,0,13,3,4,80,2,10,2,2,9,8,3,8
27,1134,16,4,1,1001,3,37,3,1,2,2811,12086,9,14,3,2,80,1,4,2,3,2,2,2,2
43,1422,2,4,1,1849,1,92,3,2,4,5675,19246,1,20,4,3,80,1,7,5,3,7,7,7,7
46,488,2,3,1,363,3,75,1,4,2,16872,14977,3,12,3,2,80,1,28,2,2,7,7,7,7
33,970,7,3,1,1114,4,30,3,2,2,4302,13401,0,17,3,3,80,1,4,3,3,3,2,0,2
33,1111,5,1,1,1395,2,61,3,2,4,9998,19293,6,13,3,1,80,0,8,2,4,5,4,1,2
45,930,9,3,1,864,4,74,3,3,1,10761,19239,4,12,3,3,80,1,18,2,3,5,4,0,2
41,1085,2,4,1,927,2,57,1,1,4,2778,17725,4,13,3,3,80,1,10,1,2,7,7,1,0
33,516,8,5,1,1515,4,69,3,2,3,6388,22049,2,17,3,1,80,0,14,6,3,0,0,0,0
47,217,3,3,1,746,4,49,3,4,3,13770,10225,9,12,3,4,80,2,28,2,2,22,2,11,13
32,371,19,3,1,1739,4,80,1,3,3,9610,3840,3,13,3,3,80,1,10,2,1,4,3,0,2
32,116,13,3,1,1234,3,77,2,1,2,2743,7331,1,20,4,3,80,1,2,2,3,2,2,2,2
34,1153,1,2,1,110,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,2,3,5,2,1,3
34,669,1,3,1,1184,4,97,2,2,1,5343,25755,0,20,4,3,80,0,14,3,3,13,9,4,9
36,845,1,5,1,479,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,6,3,1,0,0,0
37,1189,3,3,1,152,3,87,3,3,4,7428,14506,2,12,3,1,80,0,12,3,3,5,3,1,3
47,1180,25,3,1,1993,1,84,3,3,3,8633,13084,2,23,4,2,80,0,25,3,3,17,14,12,11
50,1452,11,3,1,226,3,53,3,5,2,19926,17053,3,15,3,2,80,0,21,5,3,5,4,4,4
41,1200,22,3,1,1392,4,75,3,2,4,5467,13953,3,14,3,1,80,2,12,4,2,6,2,3,3
36,894,1,4,1,1662,4,33,2,2,3,4374,15411,0,15,3,3,80,0,4,6,3,3,2,1,2
35,219,16,2,1,1886,4,44,2,2,2,4788,25388,0,11,3,4,80,0,4,2,3,3,2,0,2
48,855,4,3,1,1363,4,54,3,3,4,7898,18706,1,11,3,3,80,0,11,2,3,10,9,0,8
36,427,8,3,1,742,1,63,4,3,1,11713,20335,9,14,3,1,80,1,10,2,3,8,7,0,5
36,711,5,4,1,1651,2,42,3,3,1,8008,22792,4,12,3,3,80,2,9,6,3,3,2,0,2
50,1099,29,4,1,569,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,2,3,27,10,15,7
36,1425,14,1,1,924,3,68,3,2,4,6586,4821,0,17,3,1,80,1,17,2,2,16,8,4,11
33,827,29,4,1,1101,1,54,2,2,3,4508,3129,1,22,4,2,80,0,14,4,3,13,7,3,8
32,827,1,1,1,134,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,2,3,1,0,0,0
38,1327,2,2,1,361,4,39,2,2,4,5249,19682,3,18,3,4,80,1,13,0,3,8,7,7,5
50,1464,2,4,1,1061,2,62,3,5,3,19237,12853,2,11,3,4,80,1,29,2,2,8,1,7,7
42,570,8,3,1,809,2,66,3,5,4,18430,16225,1,13,3,2,80,1,24,4,2,24,7,14,9
48,492,16,4,1,1557,3,96,3,2,3,6439,13693,8,14,3,3,80,1,18,2,3,8,7,7,7
39,116,24,1,1,2014,1,52,3,2,4,4108,5340,7,13,3,1,80,0,18,2,3,7,7,1,7
59,1225,1,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,2,4,3,1,3
33,508,10,3,1,446,2,46,2,2,4,4682,4317,3,14,3,3,80,0,9,6,2,7,7,0,1
37,309,10,4,1,1105,4,88,2,2,4,6694,24223,2,14,3,3,80,3,8,5,3,1,0,0,0
32,1259,2,4,1,1692,4,95,3,1,2,1393,24852,1,12,3,1,80,0,1,2,3,1,0,0,0
21,984,1,1,1,1131,4,70,2,1,2,2070,25326,1,11,3,3,80,0,2,6,4,2,2,2,2
19,602,1,1,1,235,3,100,1,1,1,2325,20989,0,21,4,1,80,0,1,5,4,0,0,0,0
46,150,2,4,1,1228,4,60,3,2,4,7379,17433,2,11,3,3,80,1,12,3,2,6,3,1,4
39,835,19,4,1,1871,4,41,3,2,4,3902,5141,8,14,3,2,80,3,7,2,3,2,2,2,2
33,587,10,1,1,584,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,2,3,4,3,1,3
38,201,10,3,1,2015,2,99,1,3,3,13206,3376,3,12,3,1,80,1,20,3,3,18,16,1,11
37,1192,5,2,1,460,4,61,3,2,4,6347,23177,7,16,3,3,80,2,8,2,2,6,2,0,4
32,638,8,2,1,865,3,91,4,2,3,5175,22162,5,12,3,3,80,1,9,3,2,5,3,1,3
59,1089,1,2,1,1048,2,66,3,3,4,11904,11038,3,14,3,3,80,1,14,1,1,6,4,0,4
44,920,24,3,1,392,4,43,3,1,3,3161,19920,3,22,4,4,80,1,19,0,1,1,0,0,0
30,990,7,3,1,1482,3,64,3,1,3,1274,7152,1,13,3,2,80,2,1,2,2,1,0,0,0
40,676,9,4,1,1534,4,86,3,1,1,2018,21831,3,14,3,2,80,0,15,3,1,5,4,1,0
49,527,8,2,1,944,1,51,3,3,2,7403,22477,4,11,3,3,80,1,29,3,2,26,9,1,7
42,355,10,4,1,1854,3,38,3,1,3,2936,6161,3,22,4,2,80,2,10,1,2,6,3,3,3
41,930,3,3,1,2037,3,57,2,2,2,8938,12227,2,11,3,3,80,1,14,5,3,5,4,0,4
26,683,2,1,1,1407,1,36,2,1,4,3904,4050,0,12,3,4,80,0,5,2,3,4,3,1,1
40,1300,24,2,1,335,1,62,3,2,4,3319,24447,1,17,3,1,80,2,9,3,3,9,8,4,7
54,376,19,4,1,799,4,95,3,2,1,5485,22670,9,11,3,2,80,2,9,4,3,5,3,1,4
30,1082,12,3,1,533,2,83,3,2,3,6577,19558,0,11,3,2,80,0,6,6,3,5,4,4,4
45,1329,2,2,1,1635,4,59,2,2,4,5770,5388,1,19,3,1,80,2,10,3,3,10,7,3,9
37,807,6,4,1,133,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,3,2,0,2
43,1372,9,3,1,1188,1,85,1,2,3,5346,9489,8,13,3,2,80,0,7,2,2,4,3,1,3
48,1224,10,3,1,1867,4,91,2,5,2,19665,13583,4,12,3,4,80,0,29,3,3,22,10,12,9
50,1421,2,3,1,1215,4,30,3,4,1,17856,9490,2,22,4,3,80,1,32,3,3,2,2,2,2
56,1369,23,3,1,1373,4,68,3,4,2,13402,18235,4,12,3,1,80,1,33,0,3,19,16,15,9
26,471,24,3,1,622,3,66,1,1,4,2340,23213,1,18,3,2,80,0,1,3,1,1,0,0,0
30,1427,2,1,1,198,2,35,2,1,4,2720,11162,0,13,3,4,80,0,6,3,3,5,3,1,2
27,1131,15,3,1,1870,4,77,2,1,1,4774,23844,0,19,3,4,80,1,8,2,2,7,6,7,3
25,622,13,1,1,645,2,40,3,1,3,2096,26376,1,11,3,3,80,0,7,1,3,7,4,0,6
44,1097,10,4,1,1200,3,96,3,1,3,2936,10826,1,11,3,3,80,0,6,4,3,6,4,0,2
45,954,2,2,1,783,2,46,1,2,3,6632,12388,0,13,3,1,80,0,9,3,3,8,7,3,1
31,311,20,3,1,1881,2,89,3,2,3,4197,18624,1,11,3,1,80,1,10,2,3,10,8,0,2
40,218,8,1,1,1468,4,55,2,3,2,13757,25178,2,11,3,3,80,1,16,5,3,9,8,4,8
52,1030,5,3,1,1319,2,64,3,3,2,8446,21534,9,19,3,3,80,0,10,2,2,8,7,7,7
38,268,2,5,1,773,4,92,3,1,3,3057,20471,6,13,3,2,80,1,6,0,1,1,0,0,1
49,1091,1,2,1,431,3,90,2,4,3,13964,17810,7,12,3,4,80,0,25,2,3,7,1,0,7
51,942,3,3,1,1786,1,53,3,3,3,13116,22984,2,11,3,4,80,0,15,2,3,2,2,2,2
29,1107,28,4,1,1120,3,93,3,1,4,2514,26968,4,22,4,1,80,1,11,1,3,7,5,1,7
29,144,10,1,1,463,4,39,2,2,2,8268,11866,1,14,3,1,80,2,7,2,3,7,7,1,7
44,528,1,3,1,1683,3,44,3,1,4,3195,4167,4,18,3,1,80,3,8,2,3,2,2,2,2
31,140,12,1,1,246,3,95,3,1,4,3929,6984,8,23,4,3,80,1,7,0,3,4,2,0,2
41,796,4,1,1,1815,3,81,3,3,3,10447,26458,0,13,3,4,80,1,23,3,4,22,14,13,5
46,638,1,3,1,124,3,40,2,3,1,10673,3142,2,13,3,3,80,1,21,5,2,10,9,9,5
49,470,20,4,1,170,3,96,3,2,1,6567,5549,1,14,3,3,80,0,16,2,2,15,11,5,11
21,156,12,3,1,494,3,90,4,1,2,2716,25422,1,15,3,4,80,0,1,0,3,1,0,0,0
40,1094,28,3,1,615,3,58,1,3,1,10932,11373,3,15,3,3,80,1,20,2,3,1,0,0,1
44,1467,20,3,1,1475,4,49,3,1,2,3420,21158,1,13,3,3,80,0,6,3,2,5,2,1,3
50,1046,10,3,1,491,4,100,2,3,4,10496,2755,6,15,3,4,80,0,20,2,3,4,3,1,3
50,1115,1,3,1,141,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,1,2,8,3,0,7
32,601,7,5,1,1446,4,97,3,2,4,9204,23343,4,12,3,3,80,1,7,3,2,4,3,0,3
31,542,20,3,1,175,2,71,1,2,3,4559,24788,3,11,3,3,80,1,4,2,3,2,2,2,2
42,933,29,3,1,836,2,98,3,2,2,4434,11806,1,13,3,4,80,1,10,3,2,9,8,7,8
18,544,3,2,1,1624,2,70,3,1,4,1569,18420,1,12,3,3,80,0,0,2,4,0,0,0,0
58,147,23,4,1,165,4,94,3,3,4,10312,3465,1,12,3,4,80,1,40,3,2,40,10,15,6
33,1076,3,3,1,702,1,70,3,1,1,3348,3164,1,11,3,1,80,0,10,3,3,10,8,9,7
34,1111,8,2,1,808,3,93,3,2,1,6500,13305,5,17,3,2,80,1,6,1,3,3,2,1,2
40,750,12,3,1,1829,2,47,3,2,1,4448,10748,2,12,3,2,80,1,15,3,3,7,4,7,7
45,788,24,4,1,1049,2,36,3,1,2,2177,8318,1,16,3,1,80,0,6,3,3,6,3,0,4
55,685,26,5,1,1578,3,60,2,5,4,19586,23037,1,21,4,3,80,1,36,3,3,36,6,2,13
34,204,14,3,1,666,3,31,3,1,3,2579,2912,1,18,3,4,80,2,8,3,3,8,2,0,6
32,1045,4,4,1,291,4,32,1,3,4,10400,25812,1,11,3,3,80,0,14,2,2,14,8,9,8
38,397,2,2,1,1638,4,54,2,3,3,7756,14199,3,19,3,4,80,1,10,6,4,5,4,0,2
53,661,1,4,1,1775,1,60,2,4,3,12965,22308,4,20,4,4,80,3,27,2,2,3,2,0,2
51,1178,14,2,1,500,3,87,3,2,4,4936,14862,4,11,3,3,80,1,18,2,2,7,7,0,7
23,1243,6,3,1,811,3,63,4,1,1,1601,3445,1,21,4,3,80,2,1,2,3,0,0,0,0
39,203,2,3,1,1127,1,84,3,4,4,12169,13547,7,11,3,4,80,3,21,4,3,18,7,11,5
27,1103,14,3,1,1244,1,42,3,1,1,2235,14377,1,14,3,4,80,2,9,3,2,9,7,6,8
46,734,2,4,1,1789,3,46,3,5,4,19328,14218,7,17,3,3,80,1,24,3,3,2,1,2,2
33,832,5,4,1,338,3,63,2,1,4,2911,14776,1,13,3,3,80,1,2,2,2,2,2,0,2
36,172,4,4,1,1435,1,37,2,2,4,5810,22604,1,16,3,3,80,0,10,2,2,10,4,1,8
24,350,21,2,1,1551,3,57,2,1,1,2296,10036,0,14,3,2,80,3,2,3,3,1,1,0,0
41,1283,5,5,1,1448,2,90,4,1,3,2127,5561,2,12,3,1,80,0,7,5,2,4,2,0,3
28,783,1,2,1,1927,3,42,2,2,4,6834,19255,1,12,3,3,80,1,7,2,3,7,7,0,7
47,1482,5,5,1,447,4,42,3,5,3,18300,16375,4,11,3,2,80,1,21,2,3,3,2,1,1
35,130,25,4,1,881,4,96,3,1,2,2022,16612,1,19,3,1,80,1,10,3,2,10,2,7,8
33,1303,7,2,1,1970,4,36,3,2,3,5968,18079,1,20,4,3,80,3,9,2,3,9,7,2,8
41,802,9,1,1,176,3,96,3,3,3,8189,21196,3,13,3,3,80,1,12,2,3,9,7,0,7
47,571,14,3,1,1503,3,78,3,2,3,4591,24200,3,17,3,3,80,1,11,4,2,5,4,1,2
36,132,6,3,1,97,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,3,1,0,0,0
30,921,1,3,1,806,4,38,1,1,3,3833,24375,3,21,4,3,80,2,7,2,3,2,2,0,2
50,1322,28,3,1,1317,4,43,3,4,1,16880,22422,4,11,3,2,80,0,25,2,3,3,2,1,2
52,1053,1,2,1,976,4,70,3,4,4,17099,13829,2,15,3,2,80,1,26,2,2,9,8,7,8
35,950,7,3,1,845,3,59,3,3,3,10221,18869,3,21,4,2,80,0,17,3,4,8,5,1,6
19,265,25,3,1,1269,2,57,4,1,4,2994,21221,1,12,3,4,80,0,1,2,3,1,0,0,1
50,797,4,1,1,385,1,96,3,5,2,19144,15815,3,14,3,1,80,2,28,4,2,10,4,1,6
28,304,9,4,1,498,2,92,3,2,4,5253,20750,1,16,3,4,80,0,7,1,3,7,5,0,7
53,1219,2,4,1,23,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7
31,1082,1,4,1,95,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,4,3,1,1,1,0
36,1195,11,3,1,85,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,3,6,5,0,3
48,277,6,3,1,1022,1,97,2,2,3,4240,13119,2,13,3,4,80,0,19,0,3,2,2,2,2
25,383,9,2,1,1439,1,68,2,1,1,4400,15182,3,12,3,1,80,0,6,2,3,3,2,2,2
37,367,25,2,1,1161,3,52,2,2,4,5731,17171,7,13,3,3,80,2,9,2,3,6,2,1,3
29,428,9,3,1,1752,2,52,1,1,2,2760,14630,1,13,3,3,80,0,2,3,3,2,2,2,2
22,217,8,1,1,1019,2,94,1,1,1,2451,6881,1,15,3,1,80,1,4,3,2,4,3,1,1
44,1117,2,1,1,1246,1,72,4,1,4,2011,19982,1,13,3,4,80,1,10,5,3,10,5,7,7
58,1145,9,3,1,214,2,75,2,1,2,3346,11873,4,20,4,2,80,1,9,3,2,1,0,0,0
31,979,1,4,1,308,3,90,1,2,3,4345,4381,0,12,3,4,80,1,6,2,3,5,4,1,4
28,1496,1,3,1,1486,1,92,3,1,3,2909,15747,3,15,3,4,80,1,5,3,4,3,2,1,2
39,360,23,3,1,1310,3,93,3,1,1,3904,22154,0,13,3,1,80,0,6,2,3,5,2,0,3
27,1054,8,3,1,1751,3,67,3,1,4,3445,6152,1,11,3,3,80,0,6,5,2,6,2,1,4
38,240,2,4,1,803,1,75,4,2,1,5980,26085,6,12,3,4,80,0,17,2,3,15,7,4,12
36,1157,2,4,1,1556,3,70,3,1,4,2644,17001,3,21,4,4,80,0,7,3,2,3,2,1,2
36,363,1,3,1,1237,3,77,1,3,1,10252,4235,2,21,4,3,80,1,17,2,3,7,7,7,7
41,334,2,4,1,410,4,88,3,4,2,16015,15896,1,19,3,2,80,0,22,2,3,22,10,0,4
46,1034,18,1,1,624,1,86,3,3,3,10527,8984,5,11,3,4,80,0,28,3,2,2,2,1,2
43,823,6,3,1,1866,1,81,2,5,3,19392,22539,7,13,3,4,80,0,21,2,3,16,12,6,14
44,661,9,2,1,913,2,61,3,1,1,2559,7508,1,13,3,4,80,0,8,0,3,8,7,7,1
31,741,2,4,1,1721,2,69,3,1,3,3477,18103,1,14,3,4,80,1,6,2,4,5,2,0,3
42,532,4,2,1,319,3,58,3,5,4,19232,4933,1,11,3,4,80,0,22,3,3,22,17,11,15
50,804,9,3,1,1030,1,64,3,1,4,2380,20165,4,18,3,2,80,0,8,5,3,1,0,0,0
54,397,19,4,1,698,3,88,3,3,2,10725,6729,2,15,3,3,80,1,16,1,4,9,7,7,1
40,630,4,4,1,215,3,67,2,3,4,10855,8552,7,11,3,1,80,1,15,2,2,12,11,2,11
46,168,4,2,1,1280,4,33,2,5,2,18789,9946,2,14,3,3,80,1,26,2,3,11,4,0,8
36,506,3,3,1,397,3,30,3,2,2,4485,26285,4,12,3,4,80,0,10,2,3,8,0,7,7
47,465,1,3,1,1438,1,74,3,1,4,3420,10205,7,12,3,3,80,1,17,2,2,6,5,1,2
55,1311,2,3,1,505,3,97,3,4,4,16659,23258,2,13,3,3,80,0,30,2,3,5,4,1,2
24,240,22,1,1,1714,4,58,1,1,3,1555,11585,1,11,3,3,80,1,1,2,3,1,0,0,0
33,1099,4,4,1,1502,1,82,2,1,2,3838,8192,8,11,3,4,80,0,8,5,3,5,4,0,2
18,287,5,2,1,1012,2,73,3,1,4,1051,13493,1,15,3,4,80,0,0,2,3,0,0,0,0
25,867,19,2,1,952,3,36,2,1,2,2413,18798,1,18,3,3,80,3,1,2,3,1,0,0,0
32,1373,5,4,1,1966,4,56,2,2,4,9679,10138,8,24,4,2,80,0,8,1,3,1,0,0,0
26,1066,2,2,1,1018,4,32,4,2,4,5472,3334,1,12,3,2,80,0,8,2,3,8,7,1,3
28,120,4,3,1,129,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,3,4,5,4,0,4
35,1199,18,4,1,2049,3,80,3,2,3,5689,24594,1,14,3,4,80,2,10,2,4,10,2,0,2
36,796,12,5,1,1073,4,51,2,3,4,8858,15669,0,11,3,2,80,0,15,2,2,14,8,7,8
25,883,26,1,1,781,3,32,3,2,4,6180,22807,1,23,4,2,80,0,6,5,2,6,5,1,4
29,726,29,1,1,1859,4,93,1,2,3,6384,21143,8,17,3,4,80,2,11,3,3,7,0,1,6
28,760,2,4,1,846,2,81,3,2,2,4779,3698,1,20,4,1,80,0,8,2,3,8,7,7,5
33,465,2,2,1,328,1,39,3,1,1,2707,21509,7,20,4,1,80,0,13,3,4,9,7,1,7
56,667,1,4,1,2026,3,57,3,2,3,6306,26236,1,21,4,1,80,1,13,2,2,13,12,1,9
54,821,5,2,1,522,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,4,2,4,2,1,2
42,1396,6,3,1,1911,3,83,3,3,1,13348,14842,9,13,3,2,80,1,18,3,4,13,7,5,7
32,1005,2,2,1,8,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,2,7,7,3,6
19,1181,3,1,1,201,2,79,3,1,2,1483,16102,1,14,3,4,80,0,1,3,3,1,0,0,0
36,884,1,4,1,1585,2,73,3,2,3,6815,21447,6,13,3,1,80,0,15,5,3,1,0,0,0
36,1278,8,3,1,878,1,77,2,1,1,2342,8635,0,21,4,3,80,0,6,3,3,5,4,0,3
31,793,20,3,1,1135,3,67,4,1,4,2791,21981,0,12,3,1,80,1,3,4,3,2,2,2,2
34,1400,9,1,1,1163,2,70,3,2,3,5714,5829,1,20,4,1,80,0,6,3,2,6,5,1,3
39,672,7,2,1,444,3,54,2,5,4,19272,21141,1,15,3,1,80,1,21,2,3,21,9,13,3
45,194,9,3,1,206,2,60,3,2,2,2348,10901,8,18,3,3,80,1,20,2,1,17,9,0,15
35,664,1,3,1,88,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,2,3,2,1,2
26,950,4,4,1,401,4,48,2,2,4,5828,8450,1,12,3,2,80,0,8,0,3,8,7,7,4
35,556,23,2,1,261,2,50,2,2,3,5916,15497,3,13,3,1,80,0,8,1,3,1,0,0,1
35,1029,16,3,1,1529,4,91,2,3,2,8606,21195,1,19,3,4,80,0,11,3,1,11,8,3,3
36,1105,24,4,1,419,2,47,3,2,2,5674,6927,7,15,3,3,80,1,11,3,3,9,8,0,8
21,996,3,2,1,379,4,100,2,1,3,3230,10531,1,17,3,1,80,0,3,4,4,3,2,1,0
38,437,16,3,1,1583,2,90,3,2,2,4198,16379,2,12,3,2,80,0,8,5,4,3,2,1,2
55,444,2,1,1,1074,3,40,2,4,1,16756,17323,7,15,3,2,80,0,31,3,4,9,7,6,2
37,1239,8,2,1,1794,3,89,3,2,2,4071,12832,2,13,3,3,80,0,19,4,2,10,0,4,7
40,898,6,2,1,1550,3,38,3,4,4,16437,17381,1,21,4,4,80,0,21,2,3,21,7,7,7
35,1276,16,3,1,586,4,72,3,3,3,7632,14295,4,12,3,3,80,0,10,2,3,8,7,0,0
26,1384,3,4,1,1177,1,82,4,1,4,4420,13421,1,22,4,2,80,1,8,2,3,8,7,0,7
30,1012,5,4,1,861,2,75,2,1,4,3761,2373,9,12,3,2,80,1,10,3,2,5,4,0,3
34,254,1,2,1,649,2,83,2,1,4,3622,22794,1,13,3,4,80,1,6,3,3,6,5,1,3
34,1130,3,3,1,1658,4,66,3,2,2,5433,19332,1,12,3,3,80,1,11,2,3,11,8,7,9
34,234,9,4,1,1807,4,93,3,2,1,5346,6208,4,17,3,3,80,1,11,3,2,7,1,0,7
37,1231,21,2,1,900,3,54,3,1,4,2973,21222,5,15,3,2,80,1,10,3,3,5,4,0,0
40,1151,9,5,1,287,4,63,2,2,4,4876,14242,9,14,3,4,80,1,5,5,1,3,2,0,2
